,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,new_column
148925,SSD,Africa,South Sudan,26-09-20,2676.0,0.0,4.857,49.0,0.0,0.0,235.121,0.0,0.427,4.305,0.0,0.0,1.08,,,,,,,,,,,,,273.0,0.024,0.0178,56.2,tests performed,,,,,,,,,,,,,,45.37,11381377.0,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,,,,,AfricaSouth Sudan
91841,LIE,Europe,Liechtenstein,05-08-20,89.0,0.0,0.0,1.0,0.0,0.0,2326.554,0.0,0.0,26.141,0.0,0.0,,,,,,,,,,3349.0,28.0,87.546,0.732,25.0,0.654,0.0,,tests performed,,,,,,,,,,,,,,43.52,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,,EuropeLiechtenstein
51681,OWID_EUR,,Europe,30-09-20,5083600.0,78564.0,61132.0,222879.0,1014.0,626.571,6787.518,104.897,81.622,297.583,1.354,0.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748962983.0,,,,,,,,,,,,,,,,,,,
45264,DOM,North America,Dominican Republic,24-01-22,542056.0,2476.0,5306.0,4289.0,2.0,2.857,49486.046,226.042,484.402,391.557,0.183,0.261,0.73,,,,,,,,,,,,,8026.0,0.733,0.6611,1.5,samples tested,14486398.0,6980938.0,5763319.0,1721998.0,6651.0,17124.0,132.25,63.73,52.62,15.72,1563.0,1483.0,0.014,37.96,10953714.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,,,,,North AmericaDominican Republic
118718,MKD,Europe,North Macedonia,17-03-22,302548.0,324.0,262.0,9162.0,3.0,6.429,145269.922,155.57,125.801,4399.18,1.44,3.087,0.85,,,,,,,,,,,,,2095.0,1.006,0.1251,8.0,tests performed,,,,,,485.0,,,,,233.0,40.0,0.002,,2082661.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,,,,,EuropeNorth Macedonia
54524,FLK,South America,Falkland Islands,28-03-22,119.0,0.0,0.0,,,,33730.159,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3528.0,,,,,,,,,,,,,81.44,,,,,,South AmericaFalkland Islands
153260,SWE,Europe,Sweden,08-12-21,1222892.0,3335.0,2199.143,15184.0,7.0,3.286,120361.502,328.243,216.448,1494.465,0.689,0.323,1.48,53.0,5.216,403.0,39.665,,,,,13974205.0,49406.0,1375.392,4.863,44166.0,4.347,0.0498,20.1,tests performed,,,,,,63963.0,,,,,6295.0,6676.0,0.066,19.44,10160159.0,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,,,,,EuropeSweden
105485,MCO,Europe,Monaco,30-01-21,1475.0,45.0,18.571,11.0,0.0,0.286,37322.874,1138.664,469.925,278.34,0.0,7.23,1.05,,,,,,,,,,,,,,,,,,,,,,,294.0,,,,,7439.0,,,51.85,39520.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,,,,,EuropeMonaco
131730,RUS,Europe,Russia,11-09-20,1048257.0,5421.0,5181.429,18309.0,102.0,101.571,7184.172,37.153,35.511,125.48,0.699,0.696,1.05,,,,,,,,,40268897.0,356371.0,275.981,2.442,302049.0,2.07,0.0172,58.3,tests performed,,,,,,,,,,,,,,38.89,145912022.0,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,,,,,EuropeRussia
56110,FIN,Europe,Finland,19-03-22,786312.0,0.0,7435.714,2783.0,0.0,18.571,141719.69,0.0,1340.164,501.59,0.0,3.347,1.14,39.0,7.029,894.0,161.129,,,,,10279458.0,11999.0,1852.702,2.163,15712.0,2.832,0.445,2.2,tests performed,,,,,,13000.0,,,,,2343.0,3554.0,0.064,,5548361.0,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,,,,,EuropeFinland
